grower,farm,field,field_fvid,lat,lng,year,tmin,tmax,gdd,cpba_count,cpba_value,cpbl_count,cpbl_value,cum_gdd,croptype,clas_prop,wei_prop,clas_intensity,wei_intensity,summer_avg_temp,summer_hottest_temp,summer_coldest_temp,summer_avg_percip,summer_heavy_rainfall_days,summer_temp_variability,summer_cold_days,winter_avg_temp,winter_hottest_temp,winter_coldest_temp,winter_heavy_rainfall_days,winter_temp_variability,winter_warm_day_count,winter_extreme_cold_days,spring_frost_free_days
Signature Farms,Signature Farms,Field 1,63135,44.06131935,-89.78072505,2014,50.6377954648337,87.9738373026585,17.2735150844094,1.875,1.90909090909091,2.05,2.16666666666667,1707.76620233931,176,0.0,0.0,0.0010693662452648,0.0017143399283832,18.627049180327866,31.1,-1.1,1.4738095238095237,1.0,4.098317269787967,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Signature Farms,Signature Farms,Johnson South,63136,43.79265114,-89.7035249,2014,51.2902677859504,86.4334808641175,17.3729638806724,2.11538461538462,2.11538461538462,2.18181818181818,2.18181818181818,1688.1205547374,43,0.4,0.466666666666667,0.107846163488336,0.106654329639894,18.733884297520667,32.4,1.2,4.560975609756097,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Signature Farms,Signature Farms,Meyer N,63144,44.01283113,-89.64073137,2014,50.63,87.655068570748,16.9458744206288,2.76923076923077,2.76923076923077,5.0,5.0,1821.26871888502,43,0.4,0.4,0.107357654261911,0.117596563459294,20.4,32.2,6.1,2.287671232876712,0.0,2.1494185260204675,0.0,-7.15625,15.6,-27.2,0.0,7.14204600955018,1.0,31.0,1.0
Signature Farms,Signature Farms,3 Showers,63148,43.94848164,-89.65500305,2014,50.7899847814107,87.1746997279894,16.8354832388413,2.41666666666667,2.41666666666667,5.22727272727273,5.22727272727273,1814.40389974621,43,0.4,0.4,0.106854030204238,0.109728962143054,20.4,32.2,6.1,2.287671232876712,0.0,2.1494185260204675,0.0,-7.15625,15.6,-27.2,0.0,7.14204600955018,1.0,31.0,1.0
Signature Farms,Signature Farms,2 Wilcox,63153,43.94803387,-89.64723898,2014,50.7861750448785,87.1133034538923,16.8159473181987,2.17692307692308,2.17692307692308,5.22727272727273,5.22727272727273,1813.53881935232,43,0.4,0.4,0.118238434689285,0.120859244589198,20.4,32.2,6.1,2.287671232876712,0.0,2.1494185260204675,0.0,-7.15625,15.6,-27.2,0.0,7.14204600955018,1.0,31.0,1.0
Coloma Farms,Coloma Farms,1 Home W 1/2,63181,44.01819895,-89.59508729,2014,44.1603919364649,87.6546963058134,15.8197831719553,1.17857142857143,1.23076923076923,2.54545454545455,2.54545454545455,1822.57560798232,1,0.2,0.133333333333333,0.220224613410114,0.216024831039773,20.4,32.2,6.1,0.811764705882353,0.0,2.1494185260204675,0.0,-4.343283582089553,19.4,-27.2,0.0,7.267970911880322,4.0,15.0,6.0
Coloma Farms,Coloma Farms,2 Powell W 1/2,63189,44.0266876,-89.59511707,2014,44.1491461561749,87.7027129334498,15.8397702802657,1.16142857142857,1.23153846153846,2.2175,2.2175,1825.22684135223,43,0.4,0.466666666666667,0.194103450432842,0.194514884137118,20.4,32.2,6.1,1.8504065040650408,0.0,2.1494185260204675,0.0,-4.4222222222222225,9.4,-27.2,0.0,5.816400249310116,0.0,18.0,5.0
Coloma Farms,Coloma Farms,16 Spry East W 1/2,63190,44.03616814,-89.59138009,2014,44.1400204787126,87.6617570731841,15.8437551130517,0.791666666666667,0.791666666666667,1.44230769230769,1.54166666666667,1825.34757596552,43,0.4,0.466666666666667,0.287476972645629,0.306345599768659,20.4,32.2,6.1,2.61,0.0,2.1494185260204675,0.0,-6.535593220338982,8.3,-33.3,1.0,6.441588011316731,0.0,15.0,1.0
Signature Farms,Signature Farms,Diprizio,63231,43.96375925,-89.6638015,2014,50.7652638113559,87.3661592297368,16.9036417267052,3.11538461538462,3.11538461538462,5.75,5.75,1817.74302535301,43,0.2,0.333333333333333,0.062499779319451,0.0864054318551232,20.4,32.2,6.1,2.287671232876712,0.0,2.1494185260204675,0.0,-7.15625,15.6,-27.2,0.0,7.14204600955018,1.0,31.0,1.0
Signature Farms,Signature Farms,Frozene,63233,43.95697603,-89.63358724,2014,50.7659440388566,87.1406777817786,16.8217385214099,1.70833333333333,1.70833333333333,3.86363636363636,3.86363636363636,1813.89898869607,43,0.2,0.333333333333333,0.0752649396855215,0.0734436690414245,20.4,32.2,6.1,2.61,0.0,2.1494185260204675,0.0,-6.535593220338982,8.3,-33.3,1.0,6.441588011316731,0.0,15.0,1.0
Signature Farms,Signature Farms,Schmidt,63244,43.98602917,-89.73000031,2014,50.818562669626,87.7634515671126,17.3021086029715,1.00769230769231,1.00769230769231,1.9,1.9,1701.68213123307,43,0.4,0.4,0.0289667010750757,0.0284741567589354,20.4,32.2,6.1,0.811764705882353,0.0,2.1494185260204675,0.0,-4.343283582089553,19.4,-27.2,0.0,7.267970911880322,4.0,15.0,6.0
Signature Farms,Signature Farms,Johnson North,63247,43.79965368,-89.70335299,2014,51.2305085967019,86.4629891341415,17.1773514762884,2.83333333333333,2.83333333333333,2.66666666666667,2.66666666666667,1686.5826389037,43,0.4,0.466666666666667,0.144125283734851,0.145593451740853,18.733884297520667,32.4,1.2,6.72542372881356,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Signature Farms,Signature Farms,Kral,63250,43.96312188,-89.71708142,2014,50.8100000000001,87.5177540577794,17.001040584795,4.88928571428571,5.26153846153846,5.18333333333333,5.18333333333333,1820.90839723338,43,0.2,0.333333333333333,0.0828187873439627,0.0941922935861374,20.4,32.2,6.1,2.287671232876712,0.0,2.1494185260204675,0.0,-7.15625,15.6,-27.2,0.0,7.14204600955018,1.0,31.0,1.0
Signature Farms,Signature Farms,Franks,63265,44.04454289,-90.08988746,2014,45.2179581566183,83.2416468771389,14.3166181908862,1.7,1.7,2.67777777777778,2.67777777777778,1603.34043145556,43,0.4,0.6,0.0083053162277212,0.012534403632021,18.2900826446281,31.0,-4.7,3.3666666666666663,0.0,4.000550065484282,10.0,-12.111904761904762,7.0,-30.9,0.0,6.345407309111944,0.0,58.0,8.0
Signature Farms,Signature Farms,King,63274,43.94292033,-89.62236404,2014,50.8854637532357,87.2720286440357,17.197293607103,3.53846153846154,3.53846153846154,4.13636363636364,4.13636363636364,1816.60439948622,43,0.2,0.333333333333333,0.0333612656126634,0.0392605265268843,20.4,32.2,6.1,2.61,0.0,2.1494185260204675,0.0,-6.535593220338982,8.3,-33.3,1.0,6.441588011316731,0.0,15.0,1.0
Gary Bula,Gary Bula Farms,Hackett East,63369,43.86347735,-89.68347757,2014,50.99054809408,86.6756134463427,17.4339377004744,0.5,0.5,1.66666666666667,1.66666666666667,1074.93929810999,43,0.2,0.333333333333333,0.0377820292836637,0.031850989627615,19.689430894308945,38.1,0.3,2.032520325203252,1.0,4.194098371387321,10.0,-4.1866666666666665,9.4,-26.8,1.0,6.037210457848852,2.0,18.0,5.0
Gary Bula,Gary Bula Farms,P2 East 1/2,63379,43.80730501,-89.70555916,2014,51.1548705938411,86.9060174937243,17.4927603367966,0.558333333333333,0.518181818181818,1.11111111111111,1.11111111111111,1684.45826881814,43,0.6,0.533333333333333,0.12071065297984,0.119494153365687,18.733884297520667,32.4,1.2,4.558536585365854,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gary Bula,Gary Bula Farms,Podolls on 10th Ave,63389,43.81615886,-89.77374458,2014,51.2024002348535,86.8380092758089,17.1492046090103,0.514285714285714,0.575,1.27777777777778,1.27777777777778,1826.97650117955,43,0.4,0.4,0.0569298003278373,0.0470282726643868,18.733884297520667,32.4,1.2,4.512711864406779,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gary Bula,Gary Bula Farms,McChesney,63396,43.86753046,-89.68172747,2014,51.0008088284009,86.7079281631995,17.4503670126692,0.575,0.575,3.33333333333333,3.33333333333333,1075.57848207169,43,0.2,0.333333333333333,0.0281892231870711,0.028331997628496,19.689430894308945,38.1,0.3,2.032520325203252,1.0,4.194098371387321,10.0,-4.1866666666666665,9.4,-26.8,1.0,6.037210457848852,2.0,18.0,5.0
Gene Bula,Gene Bula,Woyak,63402,44.19258608,-89.62532588,2014,45.6654122019765,81.7605097370105,12.9624746715475,4.35,4.0,4.4,4.4,1449.16394433076,43,0.4,0.533333333333333,0.112276483665047,0.0992795213777816,18.627049180327866,31.1,-1.1,1.4738095238095237,1.0,4.098317269787967,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Gene Bula,Gene Bula,1-15,63405,44.21015505,-89.65405651,2014,45.7259806048809,81.6340193951192,12.9720226790208,4.77777777777778,4.77777777777778,5.125,5.125,1336.2680067137,111,0.2,0.2,0.0813817192067231,0.079360658957002,18.627049180327866,31.1,-1.1,1.4738095238095237,1.0,4.098317269787967,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Gumz Muck Farms,CX,M1,63409,43.74050697,-89.52415078,2014,45.7390110655198,81.9401178493713,15.9318743422118,0.75,0.75,4.11111111111111,4.11111111111111,1793.70100316542,43,0.2,0.333333333333333,0.0497506213468299,0.0530103429034297,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,CX,3S,63413,43.73414661,-89.51265319,2014,45.7668260006411,81.9606478256235,14.8306818018453,2.55,2.55,4.45,4.45,1527.73617594992,43,0.2,0.333333333333333,0.0662638161113981,0.069125366683291,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,CX,4N,63414,43.74164161,-89.50654096,2014,49.494788276096,82.3035718298007,16.6372427270558,0.62,0.62,0.455555555555555,0.455555555555555,1926.87242538342,57,0.2,0.2,0.0887527863020001,0.0819416535209072,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,Good Earth,54S,63423,43.68465738,-89.5239529,2014,45.800280867022,81.7700000000001,14.9342936933149,0.366666666666667,0.366666666666667,0.778888888888889,0.778888888888889,1796.37325725292,43,0.2,0.333333333333333,0.0187891492044,0.0193539707301641,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,Lewiston,L3,63435,43.60888987,-89.62683864,2014,49.4981084741048,87.5300000000001,16.6573709932564,0.945555555555556,0.945555555555556,2.39,2.39,1234.00829759842,5,0.2,0.133333333333333,0.0335779349315479,0.0333911077771488,18.733884297520667,32.4,1.2,6.72542372881356,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Heartland Farms,Monday,B-32,63443,44.26253412,-89.5081852,2014,35.69,80.966753775655,12.4579835829254,1.03333333333333,1.03333333333333,3.0,3.0,1729.72444284842,43,0.4,0.533333333333333,0.228249309516194,0.247444232487592,18.62032520325203,31.1,-1.1,1.4738095238095237,1.0,4.082167524325117,8.0,-12.186666666666666,6.1,-31.1,0.0,6.656131751072874,0.0,58.0,5.0
Heartland Farms,Monday,B-33,63444,44.26645729,-89.51375651,2014,43.4643326460513,80.941242353147,13.5329895237194,1.29166666666667,1.29166666666667,3.09090909090909,3.09090909090909,1616.09255776092,43,0.4,0.533333333333333,0.228607446371328,0.242281546866987,18.62032520325203,31.1,-1.1,1.4738095238095237,1.0,4.082167524325117,8.0,-12.186666666666666,6.1,-31.1,0.0,6.656131751072874,0.0,58.0,5.0
Heartland Farms,Monday,B-45,63452,44.26224124,-89.49810766,2014,43.46057165871,80.9556946695493,13.6607900715,2.45833333333333,2.45833333333333,3.25,3.25,1503.42259015559,43,0.4,0.466666666666667,0.232022931840735,0.246281862365644,18.62032520325203,31.1,-1.1,1.4738095238095237,1.0,4.082167524325117,8.0,-12.186666666666666,6.1,-31.1,0.0,6.656131751072874,0.0,58.0,5.0
Gary Bula,Gary Bula Farms,Collins East,63472,43.79252006,-89.78243618,2014,51.302959754151,87.018644839486,17.6275279890979,0.45,0.45,0.551,0.551,1703.40156220419,43,0.4,0.4,0.0491796531972738,0.0466065337523939,18.733884297520667,32.4,1.2,4.558536585365854,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gary Bula,Gary Bula Farms,Collins West,63473,43.79433892,-89.79221054,2014,51.3176738833859,87.0412164300051,17.3651973153333,0.463636363636364,0.463636363636364,1.74,1.74,1557.86048248726,43,0.4,0.4,0.0396923499308407,0.0372210883645051,18.733884297520667,32.4,1.2,4.558536585365854,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gary Bula,Gary Bula Farms,Prairie 40,63486,43.85262454,-89.70037263,2014,51.0681028586467,86.7424730146244,16.8451083063894,2.20769230769231,1.7,3.54545454545455,3.54545454545455,1798.45434349491,176,0.0,0.0,0.108209618523298,0.0968869395197723,19.39915254237288,33.9,2.8,4.512711864406779,3.0,3.5167607415466984,3.0,-1.0911111111111111,21.3,-24.2,0.0,6.130447945296291,9.0,9.0,6.0
Tamra Bula,Tamra Bula,Helms 40,63506,43.71752901,-89.70697279,2014,51.8604610438178,86.2995389561823,17.3905670505884,0.688461538461538,0.688461538461538,1.535,1.535,1851.41303438133,43,0.2,0.333333333333333,0.0512121047132305,0.0456190757877979,18.733884297520667,32.4,1.2,6.72542372881356,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,CX,W. Island,63516,43.7460379,-89.49830393,2014,49.4888608725207,81.9437433822845,15.7701358725605,1.55,1.55,2.8,3.0,1654.0994721966,43,0.4,0.533333333333333,0.0595491400944635,0.052361346143105,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,CX,SW.Island,63518,43.74231948,-89.49954196,2014,32.3280210245737,52.8799278034747,0.0776094881288213,1.0,1.0,5.0,5.0,116.892290279479,57,0.2,0.133333333333333,0.0739425184350265,0.0657236012923509,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,CX,5S,63523,43.73773337,-89.50000115,2014,45.7585948177115,82.2965993731798,16.6226498910688,0.46,0.46,1.38888888888889,1.38888888888889,1928.79328930877,1,0.0,0.0,0.072420808391451,0.0662721757411504,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,Buller,N. of Buildings,63530,43.66267537,-89.49637713,2014,52.157646442813,87.4142590828008,19.1360150406871,0.01375,0.01375,0.428571428571429,0.428571428571429,1939.90705142555,1,0.0,0.0,0.0163752657821356,0.012585677361895,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Gumz Muck Farms,Buller,P2,63536,43.65941129,-89.51577126,2014,52.0738640267924,87.4863525153921,18.1023077367406,0.6875,0.6875,1.3,1.3,1376.1085133332,43,0.2,0.333333333333333,0.0232501136276129,0.020281169186079,18.733884297520667,32.4,1.2,2.287671232876712,0.0,4.099076191025817,8.0,-10.697752808988763,7.9,-29.6,0.0,6.580601269987863,0.0,51.0,8.0
Heartland Farms,Monday,B-50,63554,44.26224991,-89.42256611,2014,45.2850855565057,83.6478951703843,13.3904811661867,1.30416666666667,1.40909090909091,4.81818181818182,4.81818181818182,1468.48834566208,43,0.4,0.4,0.0836863978398396,0.0753550895880188,19.194308943089432,34.5,0.0,1.4476190476190476,1.0,3.938363245221651,4.0,-10.422222222222222,7.8,-28.8,0.0,6.347940969858178,0.0,52.0,4.0
Heartland Farms,Wednesday,C-11,63557,44.04381385,-89.60310852,2014,47.5700000000001,87.8664799846258,16.9595173680849,2.33333333333333,2.33333333333333,4.30769230769231,4.30769230769231,1827.55863447293,43,0.6,0.6,0.24697643473999,0.264471876068626,20.4,32.2,6.1,2.8285714285714287,0.0,2.1494185260204675,0.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,C-12,63558,44.04197251,-89.58660336,2014,47.5464282671273,87.856635521615,17.381942410737,1.78571428571429,1.78571428571429,1.42857142857143,1.42857142857143,1694.80564927791,43,0.6,0.6,0.300843250065802,0.314339966389929,20.4,32.2,6.1,0.811764705882353,0.0,2.1494185260204675,0.0,-4.343283582089553,19.4,-27.2,0.0,7.267970911880322,4.0,15.0,6.0
Heartland Farms,Monday,C-16,63562,44.04556553,-89.58036299,2014,47.528132618411,87.8876791594356,17.2116478208629,1.66666666666667,1.66666666666667,3.11666666666667,3.11666666666667,1693.73589359628,43,0.6,0.6,0.272350256002311,0.280994106609199,20.4,32.2,6.1,2.61,0.0,2.1494185260204675,0.0,-6.535593220338982,8.3,-33.3,1.0,6.441588011316731,0.0,15.0,1.0
Heartland Farms,Monday,C-17,63563,44.04770947,-89.59314953,2014,47.5538727862409,87.9062027682296,16.9378361050466,1.21428571428571,1.21428571428571,3.31818181818182,3.31818181818182,1826.68179539916,43,0.6,0.6,0.275816269463248,0.280299342461967,20.4,32.2,6.1,2.8285714285714287,0.0,2.1494185260204675,0.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,C-18,63564,44.04889448,-89.58484648,2014,47.5324621707426,87.9164412364969,16.9342513833464,1.06428571428571,1.06428571428571,2.54166666666667,2.54166666666667,1694.81334949813,43,0.6,0.6,0.264324619854778,0.263850955433748,20.4,32.2,6.1,2.61,0.0,2.1494185260204675,0.0,-6.535593220338982,8.3,-33.3,1.0,6.441588011316731,0.0,15.0,1.0
Heartland Farms,Monday,C-22,63568,44.05811384,-89.63111665,2014,47.5700000000001,87.8892658240787,17.1931792339591,2.25,2.34615384615385,3.42307692307692,3.42307692307692,1827.80008923093,43,0.6,0.6,0.222954669764336,0.221792125372554,20.4,32.2,6.1,1.8645161290322578,0.0,2.1494185260204675,0.0,-4.62183908045977,10.6,-31.1,0.0,5.054273468994845,0.0,22.0,10.0
Heartland Farms,Monday,C-23,63569,44.06542478,-89.63542715,2014,47.5700000000001,87.9107795021049,17.09042036987,1.05333333333333,1.05333333333333,2.89285714285714,2.89285714285714,1828.38240386539,43,0.6,0.6,0.153211128894313,0.149228428946004,20.4,32.2,6.1,1.8645161290322578,0.0,2.1494185260204675,0.0,-4.62183908045977,10.6,-31.1,0.0,5.054273468994845,0.0,22.0,10.0
Heartland Farms,Monday,C-25,63571,44.06706036,-89.6632273,2014,47.5700000000001,87.8908188947778,17.3754313640496,1.25,1.31818181818182,3.2,3.2,1699.6069862108,43,0.4,0.466666666666667,0.0477738432565446,0.0483897443307618,20.4,32.2,6.1,0.811764705882353,0.0,2.1494185260204675,0.0,-4.343283582089553,19.4,-27.2,0.0,7.267970911880322,4.0,15.0,6.0
Heartland Farms,Monday,C-4,63577,44.05079804,-89.62335971,2014,47.5700000000001,87.8704070046103,17.364310870344,1.46923076923077,1.46666666666667,2.96666666666667,2.96666666666667,1697.65223198845,43,0.6,0.6,0.202528764055865,0.213766266853914,20.4,32.2,6.1,2.61,0.0,2.1494185260204675,0.0,-6.535593220338982,8.3,-33.3,1.0,6.441588011316731,0.0,15.0,1.0
Heartland Farms,Monday,C-6,63579,44.04567373,-89.63125847,2014,47.5700000000001,87.8216142166442,16.6477182853211,1.46923076923077,1.46923076923077,2.81818181818182,2.81818181818182,1551.62852000223,43,0.6,0.6,0.168292919467942,0.173108926782815,20.4,32.2,6.1,2.61,0.0,2.1494185260204675,0.0,-6.535593220338982,8.3,-33.3,1.0,6.441588011316731,0.0,15.0,1.0
Heartland Farms,Thursday,H-1,63585,44.11565,-89.60302715,2014,44.8032328954876,88.1760083138324,16.2274436319461,0.884615384615385,0.884615384615385,2.75,2.75,1631.83342881986,43,0.6,0.6,0.166493006683497,0.168173707983971,18.655737704918028,32.2,-1.1,1.4738095238095237,1.0,4.096522394944961,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Heartland Farms,Monday,H-13,63589,44.13016642,-89.6332644,2014,45.3781522047496,87.9929627094732,15.9881186096197,2.59375,2.59375,4.07692307692308,4.07692307692308,1757.84465901168,43,0.4,0.466666666666667,0.262855343547096,0.254163859078407,18.655737704918028,32.2,-1.1,1.4738095238095237,1.0,4.096522394944961,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Heartland Farms,Monday,H-14,63590,44.13010002,-89.62332333,2014,45.2284599476719,88.0138190462342,16.6067395152741,1.51785714285714,1.51785714285714,2.23076923076923,2.23076923076923,1756.97240680142,43,0.4,0.466666666666667,0.24068304028655,0.241024813245234,18.655737704918028,32.2,-1.1,1.4738095238095237,1.0,4.096522394944961,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Heartland Farms,Monday,H-19,63595,44.14478407,-89.65321341,2014,45.673477674406,87.8626526240158,16.2192650714346,1.11538461538462,1.11538461538462,2.0,2.0,1628.24228154986,43,0.4,0.466666666666667,0.119883429102853,0.116829519381621,18.627049180327866,31.1,-1.1,1.4738095238095237,1.0,4.098317269787967,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Heartland Farms,Monday,H-20,63597,44.14561131,-89.66257466,2014,45.7612024339442,87.8186384624286,16.7209416912703,2.20833333333333,2.20833333333333,2.72727272727273,2.72727272727273,1628.7300535951,43,0.4,0.466666666666667,0.081009124925934,0.0872750273654135,18.627049180327866,31.1,-1.1,1.4738095238095237,1.0,4.098317269787967,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
Heartland Farms,Tuesday,H-42,63603,44.15205661,-89.53757755,2014,44.1455766038401,91.4722395388626,15.0274020261467,2.15,2.15,1.65384615384615,1.65384615384615,1694.52360215607,43,0.6,0.6,0.210627082518399,0.217773808453403,18.655737704918028,32.2,-1.1,1.4738095238095237,1.0,4.096522394944961,8.0,-12.090588235294115,6.1,-31.1,0.0,6.696420926232798,0.0,54.0,5.0
